comment_id,original_comment,aspects,sentiments,confidences,aspect_count
1,om coba minecraft java pake shders derrative pasti nggak kuat poco f,Display,negative,0.691,1
2,tambahin honor of kings dong om sebagai salah satu testnya graphic nya lebih kompleks biar keliatan performanya maks sampe mana,"Display, Performance","positive, positive","0.658, 0.658",2
4,cuma yang gua gak suka dari poco ini yaitu blotware nya bejibun,Security,negative,0.640,1
8,thn depan auto naik harga dan ghoib,Price,neutral,0.908,1
11,untuk jangka panjang apakah poco f ini worth it,Price,positive,0.985,1
13,entah kenapa desain hp ini ngengiten saya poco f dulu,Design,positive,0.772,1
15,buru buru checkout akhir tahun sebelum naik harga di,Price,neutral,0.984,1
17,emang mantap hp nya dengan harga segitu aku udah pake bulan dan sangat merasa puas,Price,positive,0.516,1
21,aduh sayang belum bisa bypass charging jadi gak bagus kalo main game sambil cass,"Features, Performance, Battery","negative, positive, negative","0.997, 0.997, 0.997",3
22,jangan main sambil ngecasga baik buat kesehatan baterai,Battery,positive,0.985,1
23,​syukransyukranp siya tapi kalo ada bypass chargingnya kan gak ngaruh ke baterai karna daya listrik langsung ke hp kak,"Features, Battery","neutral, positive","0.568, 0.975",2
24,​alvianap iya tautapi lebih baik ga sambil casbatre nya kan besarga harus nunggu habis batre buat main game,"Performance, Battery","neutral, negative","0.855, 0.561",2
26,sama takut nya seri kameranya model kompor gk suka aja model hp kamera besar,"Design, Camera","negative, neutral","0.997, 0.980",2
27,aalfianosd wkwk sama tadi niatnya pengen poco paling terbaru kaya f pas liat model kameranya langsung ga jadi dan beli f,Design,neutral,0.975,1
28,​imyournubisama kita bg nunggu liat f keluar malah model nya gk suka jadi sekarang beli poco f ada vouchee jg dpt di harga di toko oren,"Design, Price","neutral, neutral","0.935, 0.954",2
31,nanggung ni resolusi ultrawide bisa mp sm record k cipsetny udh mendukung,Display,neutral,0.700,1
34,bagus tp layar kekecilan buat game,"Display, Performance","negative, negative","0.997, 0.997",2
36,go blok​b bagusyanuarf,Audio,neutral,0.933,1
