comment_id,original_comment,detected_aspects,aspect_count,matched_keywords
1,om coba minecraft java pake shders derrative pasti nggak kuat poco f,Display,1,minecraft
2,tambahin honor of kings dong om sebagai salah satu testnya graphic nya lebih kompleks biar keliatan performanya maks sampe mana,"Display, Performance",2,"testnya, performanya"
4,cuma yang gua gak suka dari poco ini yaitu blotware nya bejibun,Security,1,blotware
8,thn depan auto naik harga dan ghoib,Price,1,harga
11,untuk jangka panjang apakah poco f ini worth it,Price,1,worth
13,entah kenapa desain hp ini ngengiten saya poco f dulu,Design,1,desain
15,buru buru checkout akhir tahun sebelum naik harga di,Price,1,harga
17,emang mantap hp nya dengan harga segitu aku udah pake bulan dan sangat merasa puas,Price,1,harga
21,aduh sayang belum bisa bypass charging jadi gak bagus kalo main game sambil cass,"Features, Performance, Battery",3,"game, bypass, charging"
22,jangan main sambil ngecasga baik buat kesehatan baterai,Battery,1,baterai
23,​syukransyukranp siya tapi kalo ada bypass chargingnya kan gak ngaruh ke baterai karna daya listrik langsung ke hp kak,"Features, Battery",2,"baterai, bypass"
24,​alvianap iya tautapi lebih baik ga sambil casbatre nya kan besarga harus nunggu habis batre buat main game,"Performance, Battery",2,"game, batre"
26,sama takut nya seri kameranya model kompor gk suka aja model hp kamera besar,"Design, Camera",2,"model, kamera"
27,aalfianosd wkwk sama tadi niatnya pengen poco paling terbaru kaya f pas liat model kameranya langsung ga jadi dan beli f,Design,1,model
28,​imyournubisama kita bg nunggu liat f keluar malah model nya gk suka jadi sekarang beli poco f ada vouchee jg dpt di harga di toko oren,"Design, Price",2,"model, harga"
31,nanggung ni resolusi ultrawide bisa mp sm record k cipsetny udh mendukung,Display,1,resolusi
34,bagus tp layar kekecilan buat game,"Display, Performance",2,"game, layar"
36,go blok​b bagusyanuarf,Audio,1,blok
37,kalau setiap hari di geber main game gitu mempercepat pengurangan kesehatan baterai nggak sih bang,"Performance, Battery",2,"game, baterai"
38,saran aja untuk test gaming mobil mendingan pakai grid autosport disana grafiknya bisa disetting diluar game kalau di dalam kurang bagus,Performance,1,game
39,nonton pake poco f satu minggu pake mantap sih emang performa nya minus nya cuma berat doang ini hp wkwk dan besar layar nya,"Display, Performance",2,"layar, performa"
40,rekam video sambil jalan masih kedutan heran,Camera,1,video
43,klo dari f upgrade ke f worth gak,Price,1,worth
53,buat saya pribadi pengguna samsung bertahun tahun saya ucapkan selamat tinggal samsung yg pelit chipset dan internal memori saya dan istri sudah jadi pengguna pocof dan anak anak sudah pakai infinix semua good bye samsung,Storage,1,internal
58,buat harian bagus ngga si mau beli tapi biar bisa main game juga,Performance,1,game
61,walaupun udh beli nih hp tapi gw rela nambah k buat bypass charging sayangnya ga ada,"Features, Battery",2,"bypass, charging"
63,om dedy boleh ngasih masukan nggaboleh dong coba game bolakarena banyak jg yg main game ini yg lagi nyari hp,Performance,1,game
64,btull efootball kn gmana nih performa hp ni kalau main efootball,Performance,1,performa
66,kameranya jelek untuk harga sgtu setara infinix harga jt,"Storage, Price",2,"harga, sgtu"
67,kalau sy mengandalkan kualitas fitur baterai badak jangka panjang walaupun kedua speknya sama sy pilih redmi turbo pro tb jika tdk ada slot micro sd dari cn dibandingkan poco f jika budgetnya mampu,"Features, Battery",2,"baterai, fitur"
71,bang coba pas gaming tes mlbb di ganti sm hok honor of kings itu game lebih berat di banding mlbb bang cumasaran,Performance,1,game
74,bang coba cek f nya di sudut layar di sisi emang kurang responsif apa gimana saya coba test pake touch screen test yang di antutu susah sentuh di sudut layar,Display,1,layar
78,stabilizer masuk ke hardware atau software,"Software, Display",2,"stabilizer, software"
79,ada yg bilang kurang ini kurang itu ya gak bisalah anjir masa mau paket komplit gitu auto nambah hargalah,Features,1,bisalah
80,ex user poco f emang kenceng sih gila tapi yang bikin ga nyaman ui nya sok ngatur ga demen gue muter video lgsung disuruh pake mi video buka pdf lgsung disuruh pake mi browser lockscreen disuggest live lock mulu notif dimatiin ntar bisa nyala lagi getapps bisa nyala sendiri ikllan dimana setelah setahun pake ga kuat sama ui nya yang berasa ngatur user akhirnya pindah ke brand lain yg ui nya bersih personal preference kadang kenyamanan diatas kecepatan,"Software, Camera, Performance",3,"video, ngatur, bersih"
84,kamera bagus ini atau f bang soal performa saya g begitu pertimbangankan karena bukan maniak game sy hanya butuh yg all rounder terutama bagian kamera suatu saat dibutuhkan sudah ready to use tidak shaky depan belakang,"Camera, Performance",2,"game, kamera"
85,bang berarti ini hp udah bisa support ray tracing di minecraft,Display,1,minecraft
86,dri f upgrade ke tpro terus downgrade ke f gegara motor jebol cmn gw g ekspek kameranya mantep njir sekilas ga jauh beda ama tpro cmn bedanya di fitur leicabokehnya lbh mantep tpro,Features,1,fitur
88,padahal pro video bisa ngurangi jitter pas record video diatas motor,Camera,1,video
90,lah sama buat libas game yg sekarang aja masih enteng ini backdoor aja sama frame doang paling yg jamuran,"Design, BuildQuality, Performance",3,"game, enteng, backdoor"
92,sama bang x gt ini otw beli f lagi dalam pengiriman,Network,1,pengiriman
