aspect,total_mentions,positive,negative,neutral,positive_pct,negative_pct,neutral_pct,kano_category,sample_comments
Performance,538,155,192,191,28.810408921933085,35.687732342007436,35.501858736059475,MIXED,tambahin honor of kings dong om sebagai salah satu testnya graphic nya lebih kompleks biar keliatan  | aduh sayang belum bisa bypass charging jadi gak bagus kalo main game sambil cass | ​alvianap iya tautapi lebih baik ga sambil casbatre nya kan besarga harus nunggu habis batre buat ma
Price,452,183,130,139,40.48672566371682,28.761061946902654,30.752212389380528,MIXED,thn depan auto naik harga dan ghoib | untuk jangka panjang apakah poco f ini worth it | buru buru checkout akhir tahun sebelum naik harga di
Camera,441,125,93,223,28.34467120181406,21.08843537414966,50.56689342403629,MIXED,sama takut nya seri kameranya model kompor gk suka aja model hp kamera besar | rekam video sambil jalan masih kedutan heran | ex user poco f emang kenceng sih gila tapi yang bikin ga nyaman ui nya sok ngatur ga demen gue muter
Features,285,38,77,170,13.333333333333334,27.017543859649123,59.64912280701754,MIXED,aduh sayang belum bisa bypass charging jadi gak bagus kalo main game sambil cass | ​syukransyukranp siya tapi kalo ada bypass chargingnya kan gak ngaruh ke baterai karna daya listrik  | walaupun udh beli nih hp tapi gw rela nambah k buat bypass charging sayangnya ga ada
Software,274,35,97,142,12.773722627737227,35.4014598540146,51.82481751824818,MIXED,stabilizer masuk ke hardware atau software | ex user poco f emang kenceng sih gila tapi yang bikin ga nyaman ui nya sok ngatur ga demen gue muter | update selanjutnya dari poco f kudu dilimit ini bahaya kalau overheat terus terusan keawetan hardwar
Design,247,116,68,63,46.963562753036435,27.530364372469634,25.506072874493928,MIXED,entah kenapa desain hp ini ngengiten saya poco f dulu | sama takut nya seri kameranya model kompor gk suka aja model hp kamera besar | aalfianosd wkwk sama tadi niatnya pengen poco paling terbaru kaya f pas liat model kameranya langsun
Battery,234,34,91,109,14.529914529914532,38.88888888888889,46.58119658119658,MIXED,aduh sayang belum bisa bypass charging jadi gak bagus kalo main game sambil cass | jangan main sambil ngecasga baik buat kesehatan baterai | ​syukransyukranp siya tapi kalo ada bypass chargingnya kan gak ngaruh ke baterai karna daya listrik 
Audio,225,26,106,93,11.555555555555555,47.11111111111111,41.333333333333336,REVERSE,go blok​b bagusyanuarf | bg benar kah suara dari poco f suara speaker atas nya bindeng gak seimbang yang bawah suara lebih be | kalo aku kok dpt yg seimbang ya
Display,189,41,57,91,21.693121693121693,30.158730158730158,48.148148148148145,MIXED,om coba minecraft java pake shders derrative pasti nggak kuat poco f | tambahin honor of kings dong om sebagai salah satu testnya graphic nya lebih kompleks biar keliatan  | nanggung ni resolusi ultrawide bisa mp sm record k cipsetny udh mendukung
Connectivity,180,26,30,124,14.444444444444443,16.666666666666664,68.88888888888889,MIXED,lucu sih di beberapa komunitas karna skor antutunya kurang dari claim brandnya sampek dibawa ke serv | poco mantapsampe skarang pake x nfc awet allhmdllh pemakain rapih | kedepannya untuk test gaming pake wuthering waves bang sebagai patokan genshin udah terlalu ringan
Storage,171,34,66,71,19.883040935672515,38.59649122807017,41.52046783625731,MIXED,buat saya pribadi pengguna samsung bertahun tahun saya ucapkan selamat tinggal samsung yg pelit chip | kameranya jelek untuk harga sgtu setara infinix harga jt | kapan give away bang hp saya masih ram gb nih bang
BuildQuality,101,21,30,50,20.792079207920793,29.7029702970297,49.504950495049506,MIXED,lah sama buat libas game yg sekarang aja masih enteng ini backdoor aja sama frame doang paling yg ja | resiko body kaca dari zaman dinasti ming juga gitu bro overheat | dinasti ming
Network,76,12,25,39,15.789473684210526,32.89473684210527,51.31578947368421,MIXED,sama bang x gt ini otw beli f lagi dalam pengiriman | ini hp klo di cas dalam keadaan mati emg selalu nyala sendiri kah kak jagat atao ada settingannya sa | pernah pake poco f masalahnya di sinyal hp yg suka hilang sendiri di cek imei gak terdetek bawa ke s
Security,19,3,6,10,15.789473684210526,31.57894736842105,52.63157894736842,MIXED,cuma yang gua gak suka dari poco ini yaitu blotware nya bejibun | ​ahmadyusuf bawaan bang tapi ngecas bisa sampai jam | ​ahmadyusuf sudah berkalikali sih bang di restart di cas dalam kondisi mati tapi ya tetep may kubawa
