author,comment,publishedAt,likeCount
@BudiEdiyanto-v1m2c,Udah UFS atau EMMC?,2025-11-03T07:06:26Z,0
@Greenalways68,Nonton ini di bulan juli 2025...dan pake a52..beli pas baru keluar..emang bagus banget sih kalo bet video..jernih banget❤,2025-07-09T15:09:36Z,0
@muhammaddendy3813,"Gensin masih lancar 720G kategori lumayan , yang penting tidak FC forced closed .",2025-04-02T13:46:27Z,0
@pawon9294,Sayang banget..kualitas lem backdoornya sangat jelek,2025-04-02T13:00:34Z,0
@irwansyah1787,"Min saran saya mao beli,bagusan samsung a52 apa redmi not 13 5g",2025-03-09T12:41:27Z,0
@tfhzero8817,"Lowlight a52 sama a52s, lebih rekomendasi mana kak?",2025-02-25T09:26:48Z,0
@PipitWulandari-hx4jk,Semoga kebeli😂,2024-10-14T23:11:28Z,0
@yanzz5244,2024 masih worth it ga bang,2024-06-21T06:34:07Z,0
@Wilda-u3x,Camera a52 sama huaweii p20pro bagusan mana?,2024-06-04T12:24:48Z,0
@BakirBakir-x5z,ma huaweii p20pro bagus mana om,2024-06-02T12:22:45Z,0
@mulisfaizar7790,"Saudara A52,,, samsung,,,, model, manis, sekali, warna,, tempat, kamera,,  top,,  Samsung",2024-01-11T16:18:45Z,0
@mulisfaizar7790,"Henphone yng manis,,, keren,,, wow black,, samsung,, mantap",2024-01-11T16:13:41Z,0
@Thedevildark999,"mau komen nih stelah 2 tahun arah ke 3 tahun bentar lg nih saya beli hp ini sampai skrg msih sya pake,, sempat beli a52s gak cocok aja batrai boros dan panas krna chipsetnya 778g bukan buat harian tapi buat gaming, a53 prnah make juga agak kmahalan sih klo cuma ngandelin kamera layar sma speker doang,, jadi ksimpulan sya pribadi a52 4g udh ckup, nah kcuali daerah lu udah bsa 5g terserah lah mau ganti yg mana",2023-12-16T01:20:50Z,0
@rockhmanjuventini5307,compare ama vivo v21 4G kira2 bgus mana om,2023-12-15T12:29:57Z,0
@Numb-LinkinParkhenbodi,CRYSTAL PALACE,2022-08-31T05:08:32Z,0
@Numb-LinkinParkhenbodi,TIDAK AKAN MENYESAL MANCESTER UNITED Kh Gani LG. bjb1234567890qwertyuiopasdfghjklzxcvbnm,2022-08-31T04:59:27Z,0
@Numb-LinkinParkhenbodi,MANCESTER UNITED LG,2022-08-31T04:57:28Z,0
@Numb-LinkinParkhenbodi,Oray55sapiA52menang,2022-08-31T04:53:52Z,1
@Numb-LinkinParkhenbodi,MANCESTER UNITED,2022-08-31T04:54:37Z,0
@Numb-LinkinParkhenbodi,MANCESTER UNITED,2022-08-31T04:55:54Z,0
@Numb-LinkinParkhenbodi,TARUNG DERAJAT SUMIATI bjb ganti mesin 11 jadi bank A52,2022-08-31T04:49:43Z,0
@sogeking3806,Alhamdulilah nonton pake samsung a52,2022-08-12T02:19:59Z,1
@drivermuda8163,"Bismillah sekarang masih pakek realmi c15 ,, insyaallah 3 hari lagi beli",2022-07-03T16:28:39Z,1
@zoelcute8275,udah punya alhamdulillah,2022-06-15T13:41:23Z,1
@roadman8085,A52S tahan air juga ?,2022-06-08T20:42:40Z,0
@KazumaPratama10,Bagus tapi kemahalan😂,2022-05-30T02:09:28Z,0
@krisnamaraja6649,Mau tanya kaka apa samsung a52 nih ada  dual video nya makasih,2022-05-12T06:09:59Z,0
@muhammadshulthonsuryok8002,"samsung a52 ama iphone xr bagus mana ya suhu""?",2022-05-04T14:50:59Z,0
@Fididoaibu,Kameranya mengerikan.. cakep,2022-04-29T11:35:28Z,0
@arifwibowo925,Baru bisa memiliki🥰🥰😅,2022-04-29T03:06:20Z,1
@natsudragneel57,Samsung A52 support 25 watt tapi dibg 15 watt charger....🤣🤣🤣,2022-04-06T14:07:18Z,0
@kaskasih1007,Alhandullilah sudah kebeli baru 2 hari pemakaian. Semoga yang menginginkan galaxy a52 dikasih rejeki lancar,2022-04-06T02:35:16Z,3
@InfoPenginapanPangandaran,"4,9 ?? Saya beli ko 5,5jt... itupun katanya udah di potong harga... apa saya ketipu yah ?",2022-04-05T14:38:25Z,0
@priacokelat4782,"Mengklaim tahan air tapi kalau hp mati kena air garansi service tidak berlaku. Aneh..

Hp saya a52, awal"" beli tes celupin ke air masih aman. Tapi muncul notif ""terdeteksi kelembaban"" sama ada icon air diatas layar. Sekitar setengah jam kemudian icon air diatas layar hilang sendiri.

Selang 3bulan, hp saya jatuh kedalam akuarium yg dalamnya tidak ada 1meter. Tiba"" hp mati total, sekitar 1jam kemudian tak nyalain bisa nyala. Tapi keluar notif terdeteksi kelembaban dan suruh dikeringkan dulu pakai kipas angin. 1jam saya gantung didepan kipas angin, dan bisa hidup lagi.

Lalu selang beberapa bulan. Hp jatuh ke ember berisi air, dan hpnya mati total lagi. Saya keringkan gantung didepan kipas angin sekitar 1jam lebih, tak nyalain tidak bisa. Lalu saya bawah ke samsung service center. Katanya rusak dibagian lcd+mesin+batt+sub+ctc dan tape. dengan estimasi harga 3.200.000. Saya tanya bisa pakai kartu garansi atau tidak, katanya tidak bisa karena kerusakan disebabkan karena air.

Dan akhirnya hpnya nganggur tidak jadi saya perbaiki.

Jadi kesimpulannya, jangan percaya dengan embel"" tahan airnya.

Sekian..",2022-04-01T12:17:59Z,0
@CANDRASHINCAN,Mau tanya menurut Abang bagus Prosesor Exynos apa dimensity apa kirin. Dari yang bagus ke jelek🙏🏻 mohon dijawab,2022-03-23T10:03:54Z,0
@nazriel8018,Ati karep bondo cupet😂😂😂,2022-03-13T04:39:19Z,0
@FatmaWati-oj4ue,Alhamdullilah uda punya  😍,2022-03-11T14:57:07Z,0
@diaryimam.s7217,"Hp gw lg di service efek kemasukan air. Ip67 gak ngejamin tahan air. Cuma di awalnya doang tahan. Jadi kena biaya1,2 jt di samsung sercvice center",2022-02-28T23:17:33Z,0
@premium2bulan859,"Mohon bantuanya mas"" suhu handphone minta pendapan ,samsung a52 vs Vivo v23 vs oppo reno 7 vs realme 9pro+/biasa ,bagusan yang mana ya wort it yang mana?",2022-02-19T15:47:22Z,0
@nabila1850,A52 apa ada smart view nya atau sambungan nirabelnya,2022-02-16T22:47:15Z,0
@arifexo1761,Ada...,2022-02-20T12:51:20Z,0
@hijrifaniardiansyah7361,"Kak kalau taruh hp di motor atau utuk liat gps otomatis kan hp bergetar ketika jalan rusak nah,apakah fitur ois stabilizer kamera nya tidak akan rusak?",2022-02-16T09:13:05Z,0
@nazwanuris5151,Masuk sini karna layar retak + tompel,2022-02-10T00:48:00Z,0
@abdulmustofa1231,Sama samsung A52 S papa beda harga om,2022-02-08T01:23:15Z,0
@dandi_suwandi2346,"bismillah,gajian Nnti Beli ^_^",2022-02-06T17:33:19Z,0
@juliansyah117,"Bang saya baru pake samsung a52s, terus pake headset kabel, lalu ada icon headsetnya, nah pas saya cabut iconnya masih ada, terus di notif ada google voice gitu, saya hapus kan.
Ehh malah ga ada terus icon headset nya setiap saya pakai headset, bagaimana ya bang?",2022-02-04T11:42:18Z,0
@mahnitasari2980,Baru baru ini diberi hadiah sama suami 🥰,2022-01-29T13:28:19Z,0
@hrrobith,speakernya enak banget,2022-01-27T08:01:50Z,0
@Nurulproject911,Kayaknya cucok buat bikin video youtube,2022-01-26T16:34:04Z,0
@pirapatkanawut514,Akhirnya bisa beli juga 😭,2022-01-20T09:20:47Z,1
@nofaaelah8493,Kamera nya ok gak,2022-03-30T10:04:24Z,0
@pirapatkanawut514,@nofaaelah8493 okey kok,2022-04-12T16:52:25Z,0
@MelodhiandraChannel,"Knp ya pas masuk aplikasi shopee tombol back nya gak mau berfungsi, itu hp nya apa aplikasinya ya kak",2022-01-16T02:06:22Z,0
@susanwags4959,Kameranya emg bagus belum coba guyur air lgsg cuman ga takut lagi kalo kehujanan hahaha,2022-01-15T10:16:39Z,0
@RifkiRani4,Sudah pakai A52S memuaskan dipakai,2022-01-13T10:53:57Z,1
@tumbuh-tumbuhanchannel4299,HP ni the best…,2022-01-10T14:10:21Z,0
@Nugroz99,Akhirnya bisa beli ni hp :),2022-01-06T03:39:08Z,0
@five3there,Baru tadi bisa pesen Hp A52. Lagi menunggu Pengiriman dari samsungnya langsung. Tidak sabar kedatangan Hp A52 ya 🙂,2022-01-05T15:44:29Z,1
@calonmayat9181,Saran untuk cowok lebih cocok warna apa ya,2022-01-03T02:50:27Z,0
@muhammaddanu4107,Hitam,2022-04-05T09:08:45Z,0
@huszenm2162,"Alhamdulillah nonton dengan Samsung A52 yg 256.
Emamg kualitas gak prnag di ragukan lg dr dulu klo samsung... krna samsung lebihh mngutamakan Kualitas dibanding Kuantitas.. gak kayak brand² yg lain ....",2022-01-01T23:19:05Z,0
@abcdefgh4761,Gimana kak pemakaiannya? Memori Samsung aman ka? Katanya Samsung memorinya suka penuh?,2022-01-10T00:54:22Z,0
@huszenm2162,"@abcdefgh4761 Alhamdulillah si sepanjang pemakaian di saya memory biasah2 aja .. padahl ya sering buat video2 ini itu.. apalgi kualiats kamera dan videonya... mantap....👍👍👍 no coment...
pokoknya samsung brand terbaik android klo mnrt sy....",2022-01-10T01:36:25Z,0
@rezozeres528,Tapi belum 5G ya 🥺,2021-12-29T07:05:03Z,0
@rudianto2027,"Klo mnurut sy 5G blom di butuhkan, skrng blom merata, klo 5G sdh rame tipe dan jeroan HP jg menyesuaikan dan beda",2022-01-14T00:14:48Z,0
@fitripcc3651,Alhamdulilah kemaren di beliin kk ku hp ini kerenn banget,2021-12-27T07:26:02Z,0
@AzphenPalopo04,Bang...tahan air...apakah air asin tahan juga bang? Mohon pencerahannya bang🙏,2021-12-23T16:29:09Z,0
@gadgettipsandtricks,Bingung ga ada standar kamera lowlights,2021-12-22T12:45:30Z,0
@jackakurniawan6300,"Barangkali ada yg minat
A52 8/256. Kondisi baru resmi
4.8jt",2021-12-17T12:23:59Z,0
@sucirosmilawati1006,Samsung a50 a51 udh punya skrg ada lg gak ada hbs Ny 😀🤣,2021-12-14T12:14:52Z,0
@miaowchannel5354,Masih bertahan di samsung A22 4G,2021-12-12T14:05:28Z,0
@alwantots1256,Hehe setelah 7 bulan baru kebeli,2021-12-10T03:27:36Z,0
@imamsa6069,Betul saya juga paka a52 pokoknya tidak mengecewakan,2021-11-19T22:33:09Z,1
@upinipin5189,Ya allah,2021-11-19T10:30:30Z,0
@singtepuk8829,"Bang itu zoom kamera nya bisa berapa kali zoom?

Bang jelasin langsung zoom nys brspa kali",2021-11-18T21:00:57Z,0
@skygames4k137,Kalo yang pengen beli samsung galaxy a52 mungkin kalian ambil varian 256gb saja karna tinggal tambah 400 ribu loh,2021-11-16T22:53:45Z,0
@muhibbatululya1619,"Hp impian
Pengen yang awesome violet
Semoga secepatnya ada di tangan",2021-10-29T04:06:02Z,0
