author,comment,publishedAt,likeCount
@AbdulThinkerX,"Btw om, saat review performance di game berat itu udah full download belum? Ntar pas full download gak sesuai review video, uji coba malah drop 30 fps",2025-08-26T13:16:42Z,0
@BismaMandala,Bng mnding samsung a24 atw a52,2025-02-15T13:26:02Z,0
@Kiwkiw-n8o,Dan saya jadi orang terakhir yg nonton video ini dan memakai Samsung A52 yg sudah berumur 3 tahun 😂,2024-07-11T19:14:52Z,0
@dnwinarto,Masih pakai A52 di 2023. Skip A53 dan A54 karena pakai Exynos.,2023-10-11T02:25:00Z,0
@userhplama,"Gimana setelah 2 tahun bang?
Banyak yang bilang lem backdoor nya lepas setelah 1 tahun pemakaian",2023-12-22T18:59:50Z,0
@dnwinarto,"@userhplama ini baru aja dilem ulang. Kaget juga pas tiba-tiba lepas. Search di YouTube ternyata banyak yang punya pengalaman serupa. Sempat kecewa juga tapi ternyata solusi nya gampang. Jadi ya udah tetap dipakai terus sambil menunggu, berharap seri A55 atau A55s ada yang pakai Snapdragon lagi.",2023-12-22T19:39:44Z,0
@userhplama,@dnwinarto mantap bang,2023-12-22T19:43:02Z,0
@Kyruu28,"Sampai sekarang masih belum bisa smooth extreme di PUBG, walau udah cukup di 40fps tapi rasanya nanggung aja😅",2023-07-08T08:58:26Z,0
@kingkemal7785,"Body polikarbonat mate, tetep bisa jamuran ga sih?",2023-07-07T00:37:58Z,0
@ghanirizqi664,Bisa bang,2023-08-24T13:47:30Z,0
@fun_gaming8481,Mantep banget njir SAMSUNG🎉,2023-05-21T15:13:48Z,0
@Icha_767,Saya user samsung a72 dan sering muncul peringatan overheat meskipun cuma setel youtube.. ada yg seperti saya?.. fyi di ruangan dg ac pun tetap sering overheat,2023-01-08T10:32:31Z,0
@buyutanime2069,"Nonton disini durasi 15-25 menitan aku merasa gak rugi, sebab jelas apa yg di sampaikan.. moga teamnya sehat selalu disana",2022-12-30T00:08:13Z,1
@littlesecret7275,"Habis beli Samsung A52 dan apakah layarnya memang agak warm tone warnanya? Saya bandingkan dengan layar IPS warna putihnya beda jauh. IPS terang, S Amolednya si A52 nge warm. Apakah seperti itu atau bagaimana?",2022-11-13T16:15:13Z,0
@QPLKN,Cek settingan coba.,2023-04-16T03:10:43Z,0
