author,comment,publishedAt,likeCount
@iim.margolang,4:22 ini yg palinggggg akurat,2026-06-26T14:05:58Z,0
@ArditaAyu-qr4he,Rekomend dong mending A55 atau xioami note 15pro ?,2026-06-04T05:43:23Z,0
@masfukarifi4516,Berat banget hp ini. Gk nyaman. Ampun.,2026-05-12T23:36:58Z,0
@yosa9122,"H-1 lebaran 2026 hp jatuh dan terlindas mobil, kaca depan sebelah bawah pecah, kaca belakang aman, frame metal agak melengkung.
Bawa ke service center Samsung, setelah dicek menyeluruh mesti ganti frame dan layar depan, lainnya aman semua. Total habis 1,95 juta.
Masih ekonomis menurut saya karena ini hp baru dipinang Januari 2025, setahun lebih dikit, dan ketika ada yang nyaranin mending nambah sejuta sudah dapat hp baru dengan spek sama (infinix, tecno atau redmi) saya abaikan, kata si David ""feel-nya itu loh"" 😀😀",2026-04-09T03:54:27Z,0
@k.b.r.tvr4611,manTul,2026-04-06T05:39:09Z,0
@BayuPamungkas-t4k,Buat ngegame mobile legends masih enak ga ya?,2026-04-01T04:08:46Z,0
@sixsevengame1315,"enak bg asal atur settingan ke high semua (kecuali refresh rate boleh pake super 90fps tapi jangan ultra 120fps), soalnya kalau dipaksa pake setingan rata kanan, hpnya malah panas dan fpsnya gak stabil jadinya 🗿",2026-04-15T04:57:59Z,1
@ameliarestunoormalasari482,Dr awal beli hp 2009 samsung smpe skrg masih setia sama samsung.. ini rencana mau upgrade ke a55😂,2026-03-24T22:34:38Z,0
@DEWI_MLENUK_GEMBUK,"Ya karena ada kredivo, yg paling mudah cair daripada yg lain",2026-03-19T14:54:06Z,0
@TatI-m9t,Soalnya samsung brand LEGEND.,2026-02-20T03:47:25Z,0
@ryanwahyudi638,"Kmren beli samsung  a55 5g di akhir tahun 2025, kok ga dapet kabel charger nya ya",2026-02-05T02:25:13Z,1
@rosiepark1102,"Bang, dapet dimana saya nyari nyari gak ada,,, sebenarnya di online ada tapi agak ngeri jadi raguuu",2026-02-12T11:23:32Z,0
@ryanwahyudi638,"​@rosiepark1102kemarin beli di toko offline ,erafone nama toko nya.

Coba beli di official store online aja bang",2026-02-12T12:00:17Z,0
@D-ravn,"Kabelnya sih harusnya dapet, kepala chargernya yg ga dapet. Kalau ga dapet harus ditanya di tempat tokonya beli",2026-03-09T05:07:33Z,0
@ryanwahyudi638,"​@D-ravnjiir gua ga dapat cuy, tay lah.",2026-03-09T06:15:31Z,0
@alfian3384,"Sekedar curhat:
Setelah update patch januari 2026 banyak bug nih di A55. Terutama di Apps goodlock nya harus instal ulang dulu baru normal lagi. Ya moga aja masalh bug di A55 ini segera diperbaiki oleh Samsung. Sayang padahal   Hp nya enk banget tapi banyak bugnya.",2026-02-03T04:38:47Z,0
@aldinokamaruddinsantoso8509,Senin yg lalu beli HP ini bekas di konter. Tpi masih mulus. Ngincer karena tipe A terbaru yg masih ada micro SD nya 😂,2026-02-01T14:19:32Z,4
@riskisaputra5283,"Udah pake setahun lebih satu sih ga bikin nyaman bezelnya aja, buat yg mau bli saya ksih saran jgn yg wrna dark blue soalnya frame metalnya ngeletek hee kya punyaku",2026-01-16T14:08:07Z,0
@miggy0-k5i,Samsung itu emang banyak yang minat sih cuma mehong aja jadi orang mikir 2x buat beli 😢,2026-01-07T06:54:21Z,0
@shashachannelOk,Ada yg jual samsung a55 12/256 ?,2026-01-06T01:58:15Z,0
@TegarOnTheWay,"🫡Dunia Gadget Surabaya kak jual di shopee, kmrn aku sdh beli barang nya  msh gress kak muantabbb!💪🔥",2026-01-06T15:12:11Z,0
@soooyaa_fr,"4:15 tbh gue liat A55 aja kek yaudah gapapa, gatau ga tertarik sama pocin gegara gaada UI mateng, fitur fitur kecil yang menjaga kenyamanan kayak keyboardnya. Trus desain ga aneh aneh kayak pocin (kamera apa cilok). Gaada embel embel yg norak (semakin simple semakin mewah). Ekosistem mateng lah (buat yg nyaman android/ga mampu buat ekosistem apple).",2026-01-02T14:48:47Z,1
@nizarlovreno6502,Alhamdulillah baru bisa kebeli meskipun second dan tidak kecewa😊,2025-12-31T02:59:54Z,1
@MuhammadIqbal-hu5zy,Harga brp kak,2026-05-13T14:18:12Z,0
@Ansari_98,Alhamdulillah masih pake A55 sekarang udah makin gacor udah up one ui 8 dan android 16,2025-12-23T14:38:14Z,2
@Sunfei3,Pas beli harganya berapa kak?,2026-05-30T19:13:44Z,0
@kiaguszulkarnein,Jujur setahun lebih pakai Samsung A55 12/256 alhamdulillah top ga nyesel sudah jadi dealy driver seharian dan baterainya super hemat walau sudah one ui 8.. mantap..,2025-11-29T14:24:12Z,0
