author,comment,publishedAt,likeCount
@didi_sdi5343,kenapa punua sayah slot sim nya d pinggir kiri yaa bukan d bawah pada umumnya samsung a56,2026-06-28T08:37:50Z,0
@ndnaudio138,Pa Bos Samsung suruh ngeluarin Seri M lagih Jangan seri A sama S ajah seri M sepi banget,2026-06-25T12:39:48Z,0
@elina7248,"yang pake A56, layar kalian cenderung ijo/warm ga sih?  bukan yang neutral white gitu. padahal di setting udah pas tengah2 neutral.",2026-05-31T10:51:06Z,0
@Abay_akbar,Dari samaung A5 2017 ke samsung A56😂,2026-05-08T03:05:23Z,0
@abdulmuin731,Speaker outputnya yahud,2026-05-03T04:41:36Z,0
@m.mahrus8688,Sangat kecewa dengan Samsung dan ini bakalan terakhirnya saya pakai unit Samsung. Beli A56 baru 7 bulan di pakai buat Navigasi di motor mudik terkena hujan LCD rusak di bawa ke service center garansi tidak bisa di cleam karena air masuk. Saya bilang bukan nya hp A56 ini IP67 tahan air dan tidak ada jatuh sama sekali kok bisa air masuk dengan ringan nya pelayan bilang tetap tidak bisa cleam garansi.. gini amat produk Samsung sekarang info IP67 tahan debu dan air atau pun di rendam hingga 1 meter giliran terkena hujan langsung rusak.,2026-03-30T01:33:58Z,1
@andikismail6318,"Bang ada rekomen charger 45 watt, bisa share ..",2026-03-22T13:12:15Z,0
@polmantampu6325,ugreen 45w,2026-05-08T05:08:13Z,1
@nurasiahjamil4801,"Saya juga pake ugreen 45 watt, kalo kabel dari samsung.",2026-05-16T06:34:18Z,0
@alotmm,sinyalnya aman ga ya? karna pake exynos,2026-03-16T15:50:44Z,0
@Hannature_1701,"Alhamdulillah udah nonton ini pakai A56, memang gak bisa jauh jauh ama samsung gua😂😂",2026-03-14T04:20:08Z,0
@Rahmawati-ye5tn,"Sy beli A56.. bonus ..power bank,charger. Earphones..",2026-03-08T12:54:36Z,0
@harimargiana5746,"mau downgrade aja gua, dari s25 ultra ke A56",2026-02-26T12:54:38Z,0
@sijaliss,Alhamdllah nonton ini pake a56 😊,2026-01-30T14:29:25Z,0
@suparmanyusuf4279,"Hp samsung A56 yg buat review mgkin hp khusus soalnya setelah aku beli samsung A56 walo second tapi masih bergaransi ternyata kemampuan video HDR nya tdk sebagus dg hp yg buat review ,akhirnya aku jual lg dan aku beli vivo v30pro 5g dan kameranya terutama kemampuan HDR nya sangat mumpuni jauh diatas samsung A56",2026-01-28T04:39:53Z,0
@motovlogindramayu1679,"Lebih asik di zoom 1,5",2026-01-23T16:22:20Z,0
@agussheepful,Sudah beli hp samsung a56 sayang sinyal lemot,2026-01-21T17:05:57Z,0
@ferdyirawanfirdaus2942,baterainya apa cepet panas dan boros? mau beli maju mundur,2026-01-17T06:43:01Z,0
@priyono-k3u,om dedy mau tanya oppo reno 13 sama samsung a56 mending mana om??,2026-01-14T12:25:40Z,0
