author,comment,publishedAt,likeCount
@adminmichat7306,Engga ada lubang cukukan henset,2026-01-18T14:34:48Z,0
@ramonzamora4195,Alhamdulillah lagi nonton pake poco f7. Walaupun kredit 😁,2026-01-18T14:07:16Z,0
@BroCide-w6o,"Alhamdulillah mungkin ini keberuntungan saya, dapat hp ini di harga 4.7 seken pemakaian 3 bulan 👌",2026-01-16T11:44:26Z,0
@fransnainggolan7980,"abis itu update OS baru mulai lemot dan overheat kayak F5 saya, mau rombak root biar ganti ose balikin ke miui, sampai skarang gak diapproved, jadi takut mau ambil xiaomi, maaf bukan menjelekkan brand ini.",2026-01-15T19:31:18Z,0
@yehezkielmatlyan2970,ad yang ram 256 gak?,2026-01-15T15:30:24Z,0
@Humanpa,pakai snapdragon aja naganya belum bisa ngamuk bagaimana ini xiaomi,2026-01-15T08:29:42Z,0
@bangverry89,auto beli ni😁,2026-01-14T05:04:45Z,0
@robbynoerikhsan7230,"Alhamdulilah udah beli, cuma salah warna aja, pengen warna putih dptnya item",2026-01-13T02:25:23Z,0
@azis.saputraisnaini,"mending beli ini, apa ada lagi ga ya nanti keluaran baru abis lebaran...",2026-01-12T06:07:53Z,0
@IndriYani-sr1nk,"Aku ngiler hp ini karna doi udh beli😂udah liat dan merasakan langsung😂 gila ya ni hp, spek ajib, biasanya kamera kureng, tpi kmren ku coba gilaaa, Alus bangett jujurrr mau itu foto atau video, kamera depan atau belakang pun ajib bgt gilaaaa Alus bgttt entah itu dari kehalusan gerakan penangkapan warna dan detail nya gila sih❤",2026-01-11T13:24:32Z,0
@ekylemon6510,Kalau sama ip 13 mending mana ka,2026-01-11T14:55:16Z,0
@joannugroho3146,"sekarang udh 7,400jt bjir",2026-01-09T17:54:25Z,0
@the_solo_karina3248,Woi seriusan poco kameranya sebagua itu??? 😮 ini gak ngigo kan poconya? 😂,2026-01-09T14:56:58Z,0
@robihhasim2005,nonton ini pake poco f7 Alhamdulillah,2026-01-08T12:59:10Z,0
@rio11-g2p,"hp impian alhamdulillah uda ke sampean .
thanks to Allah 🤲",2026-01-07T19:48:29Z,0
@K59j_a11,"Di ROM region id banyak iklan nya, ganti ke rom global iklan ilang semua, itu yg gw alami",2026-01-06T18:35:35Z,0
@pertapamalam7427,Butuh hape dgn performa video dan game sebaik dg buget serendah  mungkin apa ad yg lebih murah dri ini dgn performa yg mumpuni.,2026-01-06T04:44:15Z,0
@Theerwin468,"saya baru beli poco f7 baru 3 hari, belum dipudate masih di versi 2.0.100 padahal udah ada update ke 204 tapi nanti aja deh updatenya 😅😊",2026-01-06T04:22:56Z,1
@SamsungM32-o5e,Gua nunggu chpset nya dipakai buat tab xiaominya😂.. bisa jadi suhu dan fpsnya lebih stabil kalo buat maen genshin😂,2026-01-06T02:24:47Z,0
@oecupgenit3222,berat,2026-01-05T20:07:15Z,0
@stfsatriogimangs2044,Nonton pake poco f7,2026-01-05T14:26:28Z,1
@an-san4477,Alhamdulillah udah bisa beli,2026-01-05T06:05:15Z,1
@erniorlandopizzamarketer4672,"Alhamdulillaah... 
Kalo di awal tahun gini kena berapa kaak?? 
Jujur, saya juga ngincer. Tapi masih nabuung...😊😊😊",2026-01-05T09:44:47Z,1
@an-san4477,"Alhamdulillah kak. beli di 12.12 kemrin saya dapat 5,1.
kalau kemarin saya liat sekitar tgl 25-30 di 5,5. hampir 5,6",2026-01-05T11:33:22Z,0
@market_higgs,​@an-san4477secound ya,2026-01-07T09:51:13Z,0
@MuhammadRafi-gl1ji,"Mending ambil ini atau Yg Pro bang? Atau seri lain?? Gua mau baca nonton main gane lancar, kamera jarang cmn kalo ada momen paling jepret sekali""? Itupun jarang kayak 1% kemungkinan😅 jadi pilih rekomendasi mana ya bang?",2026-01-04T14:38:58Z,0
@iko24434,"trauma sama poco, dulu x3 pro matot tiba-tiba",2026-01-01T06:35:41Z,0
@iko24434,penggunaan 2tahun.. di servis kata konternya udah masanya mokad,2026-01-01T06:36:15Z,0
@eky3321,​@iko24434bedain dlu seri f sama x,2026-01-03T01:03:25Z,0
@RafifTammam,smooth ga untuk dokumentasi videonya bang?? gaada ultrawide nya berarti ya kalo 4k 60fps?,2025-12-31T16:19:50Z,0
@market_higgs,"Hp ini panas bgt walapun gak buat game udh terasa panasnya
Di saya kurang cocok cuma kepake semingu lalu jual lagi
Bikin gak nyaman hp kalau mudah panas
Buat scrol2 sosmed doang udh angetnya kerasa bgt",2025-12-28T18:56:09Z,1
@FUNREKA-h4s,Mono speaker ya bang,2025-12-28T13:45:15Z,0
@kidskiller6440,"Bg, hp POCO F3 ku rusak. Mau beli F7 tp lg gak ad uang, lg banyak pengeluaran Natal dan mau nyambut tahun baru... Give awayin POCO F7 dong bg hehe",2025-12-28T11:34:15Z,1
@skakhunter8034,Kerja,2026-01-16T00:38:58Z,0
@ahmadirfan1377,"Mantau pake Poco F2 Pro pemakaian udah 6 tahun, semoga bisa beli ini Poco F7 Pro untuk ganti di tahun 2026",2025-12-28T02:07:05Z,0
@bondansaid3285,Bang review Redmi 4 Turbo bang,2025-12-26T19:22:51Z,0
@Viand555,Nonton ini pake poco x3 nfc,2025-12-26T05:47:54Z,0
@YanStwn-n2d,Nonton pake f7 baru beli kemarin ❤,2025-12-25T09:11:30Z,0
@EkaYuliana-h4r5c,F7 atau fx pro 5g bg,2025-12-25T11:14:50Z,0
@market_higgs,Anget gak bg klau cuma buat scrol2 sosmed aja,2025-12-28T05:26:02Z,0
@Eindora6690,beli bung sebelum 2026 auto naik itu wkwk,2025-12-23T19:54:35Z,1
@Miwaotori,Nonton pakek poco f7 😋,2025-12-23T07:46:09Z,0
@jazreen6687,poco f7 or poco x7 pro??,2025-12-21T13:23:44Z,1
