author,comment,publishedAt,likeCount
@Ryzenn_10,"Om coba minecraft java pake shders derrative 
Pasti nggak kuat poco f7😅",2026-01-03T15:19:48Z,0
@myrnn7351,"tambahin honor of kings dong om sebagai salah satu testnya, graphic nya lebih kompleks biar keliatan performanya maks sampe mana.",2026-01-01T15:55:18Z,0
@judhistiranathajunior1420,Kuat di settingan tertinggi 120fps stabil,2026-01-03T11:25:57Z,0
@Whoami_616,Cuma 1 yang gua gak suka dari Poco ini yaitu Blotware nya bejibun,2026-01-01T11:24:35Z,0
@market_higgs,"Buat harian cocok gk hp ni
Katanya buat scrol2 sosmed mudah anget",2025-12-26T17:08:32Z,0
@viandranoval,Kamprettt aku nonton pake f6 njirrrr,2025-12-25T00:16:21Z,1
@mazyuyud8741,wkwk buruan ganti bro😅,2025-12-25T07:56:51Z,1
@KyleLws,Thn depan auto naik harga dan ghoib😂,2025-12-24T07:34:01Z,0
@Mattsen2024,"Sa baru aja beli offline di papua (merauke) 6.950.000,..mau beli online takut ketipu,, hasil nguli 2 bulan.. 
Masih aman kan untuk 3/4 tahun kedepan?",2025-12-21T00:34:03Z,0
@myindobusis1188,13:31 gamenya udh ditutup tahun depan.,2025-12-20T03:07:54Z,0
@uchihasasuke2961,Untuk jangka panjang apakah poco F7 ini worth it,2025-12-18T04:42:04Z,0
@mhije8388,"@jagatreview

Apakah memang jagat belum pernah me review poco f7 ultra?",2025-12-17T23:12:52Z,0
@tripurnachristyanto337,Entah kenapa desain hp ini ngengiten saya Poco F3 dulu,2025-12-17T08:56:18Z,0
@dickyjoan2510,F7 ini apa udah bisa esim?,2025-12-16T15:21:14Z,0
@shopeeekspress3538,Buru buru checkout akhir tahun sebelum naik harga di 2026,2025-12-16T14:36:14Z,0
@winnahyun1577,Ada iklan nya gak ya dihyperos nya?,2025-12-13T20:18:23Z,0
@aselitemanggung4317,Emang mantap hp nya dengan harga segitu.. aku udah pake 6 bulan dan sangat merasa puas,2025-12-12T06:44:27Z,0
@sitizulikha3552,kok di poco f7 aku gaada super resolution😢😢,2025-12-08T03:32:01Z,0
@Edi.Junaedi,Vs Iqoo Z10R dong,2025-12-05T12:34:03Z,0
@coach.riski8574,Kata pepatah smakin berat semakin kuat,2025-12-03T01:15:19Z,0
@alvianap4434,aduh sayang belum bisa bypass charging.. jadi gak bagus kalo main game sambil cass,2025-11-26T08:53:07Z,0
@SyukranSyukran-p4s,"Jangan main sambil ngecas,ga baik buat kesehatan baterai",2025-11-30T11:49:05Z,0
@alvianap4434,"​@SyukranSyukran-p4siya, tapi kalo ada bypass chargingnya kan gak ngaruh ke baterai, karna daya listrik langsung ke HP kak..",2025-11-30T12:05:08Z,0
@SyukranSyukran-p4s,"​@alvianap4434iya tau,tapi lebih baik ga sambil cas,batre nya kan besar,ga harus nunggu habis batre buat main game",2025-11-30T12:33:34Z,0
@Direct-Handler,"Okedeh, beli ini ja dah males nunggu yg 8 🗿",2025-11-23T01:00:29Z,5
@alfianosd566,Sama takut nya seri 8 kameranya model kompor😅 gk suka aja model hp kamera besar,2025-11-24T09:06:25Z,2
@imyournubi,"@a@alfianosd566wkwk sama, tadi niatnya pengen poco paling terbaru kaya F8, pas liat model kameranya langsung ga jadi dan beli F7",2025-11-27T16:09:14Z,1
@alfianosd566,"​@imyournubisama kita bg nunggu liat f8 keluar malah model nya gk suka jadi sekarang beli poco f7 ada vouchee jg dpt di harga 4,899 di toko oren😂",2025-11-27T17:44:55Z,0
@Anggri-nn7zm,Corning gorila glass victus 2 vs gorila 7i lebih baik mana,2025-11-20T09:46:49Z,1
@Direct-Handler,Victus,2025-11-23T00:58:06Z,0
@hellmee9637,nanggung ni resolusi ultrawide bisa 12mp sm record 4k 30. cipsetny udh mendukung,2025-11-18T15:16:16Z,0
@muhamadadiabdurrahman957,Menggoda banget sih.,2025-11-16T08:16:48Z,1
@RifkyHaikal-nj7wl,8:12 brand mana nih yang disinggung wkwkwk,2025-11-11T16:39:27Z,0
@waffyarrmusic3265,Bagus tp layar kekecilan buat game,2025-11-05T01:56:27Z,1
@b_071bagusyanuarf8,Kekecilan matalu picek😂,2026-01-15T15:54:01Z,0
